,Bedrooms,Bathrooms,Land area,CV,Latitude,Longitude,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Population,NZDep2018,NZDep2018_Score
929,3,1.0,763.0,1230000,-36.89840220000001,174.7287065,51,36,9,21,9,9,135,10.0,1241.0
930,4,2.0,658.0,910000,-36.92120739999999,174.7638353,33,21,15,24,9,24,126,6.0,977.0
931,5,4.0,483.0,2475000,-36.8514061,174.8413399,12,6,18,18,15,33,102,3.0,937.0
932,4,3.0,708.0,1675000,-36.9024169,174.7618185,36,21,18,18,21,24,144,2.0,912.0
933,4,2.0,809.0,1750000,-36.9042206,174.7612986,36,21,18,18,21,24,144,2.0,912.0
934,4,3.0,365.0,780000,-36.9113854,174.70471980000002,60,33,27,21,24,21,192,10.0,1139.0
935,5,3.0,540.0,2100000,-36.8576438,174.8696614,75,9,9,42,30,21,186,1.0,851.0
936,5,5.0,402.0,2350000,-36.8619224,174.85721999999998,42,3,9,24,6,42,135,2.0,898.0
937,2,1.0,696.0,680000,-36.8462198,174.76427759999999,18,36,39,18,12,15,132,5.0,968.0
938,3,1.0,688.0,1000000,-36.9262521,174.71852030000002,45,21,21,21,15,33,156,3.0,934.0
939,3,1.0,498.0,985000,-36.8991706,174.7051812,51,39,57,27,21,33,219,5.0,968.0
940,3,1.0,2168.0,1940000,-36.8481896,174.7268372,66,15,12,42,45,39,216,2.0,908.0
941,3,2.0,617.0,3050000,-36.879025299999995,174.7913599,45,24,6,24,30,39,162,1.0,890.0
942,3,2.0,268.0,740000,-36.871324,174.856745,75,54,45,21,18,33,252,9.0,1103.0
943,3,3.0,1173.0,3300000,-36.8544409,174.85928669999998,57,15,3,39,24,36,177,1.0,885.0
944,5,3.0,500.0,1275000,-36.8884324,174.67942299999999,45,54,30,39,33,60,267,8.0,1065.0
945,3,2.0,1219.0,2000000,-36.8619669,174.8695533,33,27,9,18,18,27,138,9.0,1072.0
946,3,1.0,658.0,1475000,-36.8955756,174.7558628,33,33,36,24,18,27,168,5.0,957.0
947,4,2.0,674.0,840000,-36.905828799999995,174.6953574,63,42,30,27,24,18,198,6.0,999.0
948,3,1.0,961.0,1820000,-36.8998764,174.8121941,18,15,18,15,9,18,93,3.0,933.0
949,5,4.0,466.0,1650000,-36.8763067,174.713555,42,30,39,21,18,30,180,8.0,1038.0
950,5,4.0,498.0,1500000,-36.920821999999994,174.7086401,33,21,24,12,21,27,135,7.0,1029.0
951,4,4.0,475.0,4300000,-36.8577078,174.78667190000002,18,9,27,9,15,30,114,5.0,956.0
952,3,2.0,258.0,2200000,-36.841823299999994,174.7436499,12,27,15,9,24,12,108,2.0,903.0
953,4,2.0,388.0,1950000,-36.8569239,174.8530156,36,12,9,15,27,27,126,1.0,893.0
954,5,3.0,379.0,2650000,-36.8901584,174.79092859999997,54,18,24,30,21,30,171,5.0,958.0
955,3,1.0,675.0,1100000,-36.9134149,174.7815573,54,54,57,30,27,36,258,6.0,997.0
956,4,2.0,1133.0,1280000,-36.9081328,174.8258697,24,12,15,12,15,21,105,5.0,962.0
957,6,2.0,1190.0,800000,-36.8721492,174.7931936,51,15,12,36,30,21,159,3.0,927.0
958,4,2.0,921.0,2400000,-36.895953000000006,174.7663558,45,27,15,27,21,39,168,5.0,959.0
959,4,2.0,400.0,1125000,-36.9035745,174.7391566,54,27,30,21,24,15,180,10.0,1156.0
960,3,1.0,936.0,2725000,-36.8705393,174.8031034,60,24,30,27,30,27,195,1.0,895.0
961,5,3.0,926.0,2150000,-36.9060592,174.76925480000003,39,24,18,30,33,45,186,4.0,949.0
962,4,2.0,479.0,1220000,-36.8691966,174.8547967,90,63,48,21,24,21,261,7.0,1015.0
963,4,2.0,525.0,1575000,-36.8937599,174.80918069999998,30,48,60,36,33,30,231,4.0,945.0
964,4,2.0,469.0,2500000,-36.8507913,174.8667629,48,18,12,24,45,45,186,1.0,875.0
965,5,3.0,498.0,2650000,-36.85159960000001,174.86758659999998,48,18,12,24,45,45,186,1.0,875.0
966,2,1.0,531.0,1220000,-36.8933679,174.7424117,42,48,36,30,21,30,210,6.0,996.0
967,5,4.0,329.0,940000,-36.893132200000004,174.70815459999997,36,54,42,15,18,15,183,7.0,1020.0
968,3,1.0,364.0,1000000,-36.9142882,174.7238636,39,54,36,21,21,33,204,6.0,988.0
969,4,3.0,319.0,2675000,-36.872813,174.7962419,36,21,12,21,15,30,144,3.0,926.0
970,5,3.0,585.0,1525000,-36.893449200000006,174.6987636,45,24,36,30,18,33,186,9.0,1080.0
971,4,3.0,306.0,1025000,-36.9063092,174.8009368,48,36,27,24,12,9,159,9.0,1112.0
972,4,2.0,200.0,1425000,-36.886961,174.83991310000002,51,15,33,33,21,33,189,1.0,884.0
973,4,2.0,573.0,1220000,-36.887362700000004,174.75000480000003,39,27,12,27,12,9,123,2.0,914.0
974,3,2.0,201.0,360000,-36.845533,174.758984,0,0,0,0,0,0,3,1.0,884.0
975,2,1.0,1108.0,1600000,-36.888758,174.69546269999998,48,27,33,27,18,18,174,8.0,1067.0
976,4,3.0,300.0,1450000,-36.872516600000004,174.8439794,36,30,45,24,15,27,183,4.0,939.0
