,Bedrooms,Bathrooms,Land area,CV,Latitude,Longitude,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Population,NZDep2018,NZDep2018_Score
74,3,1.0,1500.0,680000,-36.406573200000004,174.5450829,54,9,18,30,30,33,168,4.0,938.0
75,3,2.0,885.0,860000,-36.8646972,174.6521841,33,30,15,33,27,21,162,7.0,1000.0
76,4,3.0,480.0,2275000,-36.8625187,174.7474227,21,30,27,24,18,21,147,3.0,920.0
77,4,2.0,377.0,850000,-36.9314956,174.8467009,51,57,42,27,30,39,234,7.0,1027.0
78,3,1.0,688.0,780000,-36.931371,174.8475282,51,57,42,27,30,39,234,7.0,1027.0
79,6,3.0,10557.0,1945000,-36.8395657,174.5907986,42,24,15,30,27,33,180,5.0,958.0
80,2,1.0,405.0,1000000,-36.895017100000004,174.8242295,42,15,48,39,12,24,186,4.0,940.0
81,3,2.0,561.0,710000,-37.0223681,174.92095319999999,87,24,33,39,21,27,231,8.0,1031.0
82,4,2.0,255.0,810000,-37.0414044,174.9349884,75,72,66,33,15,15,276,3.0,927.0
83,5,3.0,519.0,540000,-36.5930625,174.6780098,0,0,0,0,0,0,18,7.0,1028.0
84,4,2.0,650.0,590000,-36.590886499999996,174.66932,0,0,0,0,0,0,18,7.0,1028.0
85,4,2.0,602.0,1075000,-36.590886499999996,174.66932,0,0,0,0,0,0,18,7.0,1028.0
86,5,3.0,650.0,1250000,-36.5903256,174.6681286,0,0,0,0,0,0,18,7.0,1028.0
87,5,3.0,519.0,1225000,-36.5937888,174.6739169,0,0,0,0,0,0,18,7.0,1028.0
88,5,3.0,522.0,540000,-36.5930625,174.6780098,0,0,0,0,0,0,18,7.0,1028.0
89,5,3.0,651.0,1260000,-36.5936147,174.67732469999999,0,0,0,0,0,0,18,7.0,1028.0
90,4,2.0,559.0,1050000,-36.590886499999996,174.66932,0,0,0,0,0,0,18,7.0,1028.0
91,5,3.0,420.0,1200000,-36.9861529,174.9072372,45,48,30,18,24,24,192,2.0,913.0
92,3,2.0,472.0,720000,-36.677469200000004,174.4522649,33,24,9,15,24,48,150,7.0,1006.0
93,3,1.0,1067.0,580000,-36.9563698,174.8892654,45,27,12,15,15,15,132,10.0,1357.0
94,3,1.0,726.0,570000,-36.955804799999996,174.8879416,45,27,12,15,15,15,132,10.0,1357.0
95,3,2.0,251.0,1300000,-36.9047954,174.7739675,21,15,18,12,18,18,108,4.0,942.0
96,5,2.0,220.0,1225000,-36.800166299999994,174.7338294,42,33,21,21,6,18,141,5.0,976.0
97,5,3.0,420.0,1250000,-36.971777100000004,174.918647,39,21,30,18,9,12,129,3.0,930.0
98,4,2.0,1467.0,970000,-36.6109852,174.7127236,24,12,15,12,18,42,132,4.0,946.0
99,4,1.0,701.0,1000000,-36.915799799999995,174.73439419999997,42,33,24,18,12,21,150,9.0,1098.0
100,4,2.0,826.0,980000,-37.0678773,174.9257112,60,21,48,39,27,30,219,1.0,871.0
101,4,2.0,743.0,990000,-37.0650699,174.92475890000003,60,21,48,39,27,30,219,1.0,871.0
102,3,1.0,272.0,680000,-37.07187879999999,174.9563186,99,48,30,21,24,15,240,10.0,1194.0
103,6,2.0,672.0,1030000,-37.031105100000005,174.89252319999997,57,51,18,15,21,15,183,9.0,1117.0
104,3,2.0,772.0,920000,-36.921876700000006,174.6646886,57,15,24,27,30,36,183,4.0,938.0
105,3,1.0,318.0,600000,-37.2096583,174.8966255,45,42,18,33,27,33,201,7.0,1028.0
106,4,2.0,895.0,920000,-36.774209899999995,174.72523030000002,18,18,18,15,12,24,99,6.0,989.0
107,9,5.0,2028.0,1350000,-36.975488299999995,174.8644449,39,27,21,15,21,21,147,9.0,1105.0
108,3,1.0,371.0,900000,-36.8864339,174.74586090000003,57,33,36,30,18,15,186,6.0,980.0
109,2,2.0,93.0,920000,-36.904282200000004,174.7588224,0,12,0,0,0,0,30,7.0,1000.0
110,3,2.0,286.0,1340000,-36.9036375,174.75841880000002,0,12,0,0,0,0,30,7.0,1000.0
111,3,1.0,429.0,850000,-36.900007099999996,174.6938496,33,27,30,15,21,21,153,6.0,984.0
112,3,1.0,623.0,630000,-36.8574435,174.60012680000003,60,30,18,15,15,27,171,10.0,1150.0
113,6,2.0,479.0,1325000,-36.7502525,174.7350724,51,48,45,27,30,24,222,4.0,952.0
114,3,2.0,113.0,1140000,-36.898097799999995,174.75660459999997,30,72,24,18,21,15,174,5.0,975.0
115,4,2.0,469.0,1745000,-36.7781846,174.7508405,63,36,42,30,30,18,216,4.0,951.0
116,3,1.0,898.0,740000,-36.2986271,174.79864840000002,18,6,9,12,27,48,117,5.0,963.0
117,3,2.0,370.0,1120000,-36.906797999999995,174.7543779,63,18,21,12,6,18,129,10.0,1213.0
118,3,2.0,120.0,580000,-36.9779943,174.8681825,42,42,30,24,21,21,186,7.0,1004.0
119,3,1.0,422.0,670000,-36.915067,174.6456471,48,9,15,30,12,21,144,6.0,989.0
120,4,3.0,868.0,800000,-36.8820848,174.6567039,45,27,33,24,15,30,180,8.0,1040.0
121,3,1.0,880.0,580000,-37.039314000000005,174.92106299999998,33,51,24,15,12,24,150,9.0,1113.0
122,4,2.0,690.0,1175000,-36.9175628,174.7935673,66,33,48,36,27,33,237,5.0,956.0
123,4,3.0,238.0,800000,-37.0443323,174.927343,60,66,72,27,21,9,249,3.0,921.0
124,4,2.0,569.0,1325000,-36.920718,174.78031869999998,21,21,15,18,27,27,132,8.0,1033.0
125,4,2.0,8000.0,1510000,-37.116236900000004,174.978964,39,27,18,27,45,69,219,1.0,893.0
126,4,3.0,8129.0,1620000,-37.1206153,174.9833398,39,27,18,27,45,69,219,1.0,893.0
127,3,1.0,447.0,1360000,-36.9069089,174.76022849999998,51,36,18,24,27,36,189,4.0,938.0
128,4,2.0,744.0,920000,-36.807162,174.71120390000002,36,15,30,21,21,3,129,2.0,902.0
129,3,1.0,630.0,870000,-36.6246599,174.7297045,72,27,18,30,33,30,213,4.0,941.0
130,3,1.0,415.0,660000,-36.991306200000004,174.84849640000002,45,45,30,21,18,24,183,8.0,1048.0
131,3,1.0,93.0,850000,-36.8736688,174.8480004,36,27,42,21,6,15,147,6.0,991.0
132,3,2.0,804.0,1050000,-36.8046583,174.7047238,30,36,33,21,24,18,162,3.0,935.0
133,2,1.0,323.0,1625000,-36.8481167,174.73943,39,33,27,33,33,21,186,5.0,962.0
134,3,2.0,810.0,1625000,-36.9469952,174.77865680000002,39,18,36,18,24,51,189,4.0,948.0
135,3,2.0,728.0,910000,-36.933223100000006,174.84677019999998,15,30,21,12,9,15,93,8.0,1030.0
136,4,3.0,580.0,1175000,-37.0800841,174.9260771,81,15,51,45,21,36,249,1.0,853.0
137,2,2.0,140.0,790000,-36.9011618,174.8510364,21,39,21,12,9,9,108,8.0,1029.0
138,3,2.0,606.0,830000,-36.395545299999995,174.6535508,51,15,27,27,21,30,174,4.0,950.0
139,6,4.0,325.0,1825000,-36.6418176,174.7328175,24,15,9,9,21,24,93,1.0,896.0
140,4,1.0,175.0,1775000,-36.876847399999996,174.8147784,39,6,21,18,27,15,123,2.0,902.0
141,4,2.0,663.0,880000,-37.0465768,174.9117585,51,39,24,33,45,39,231,2.0,903.0
142,3,1.0,422.0,520000,-37.0654435,174.9672078,99,33,27,33,18,24,237,10.0,1380.0
143,3,1.0,582.0,470000,-37.0661128,174.9674898,99,33,27,33,18,24,237,10.0,1380.0
144,4,2.0,292.0,800000,-36.986520399999996,174.90794250000002,36,48,36,9,6,0,141,4.0,953.0
145,3,2.0,144.0,420000,-36.986073100000006,174.90841369999998,36,48,36,9,6,0,141,4.0,953.0
146,3,2.0,310.0,1250000,-37.1463039,174.929007,27,6,18,9,15,24,96,3.0,929.0
147,2,1.0,849.0,2275000,-36.8569511,174.818547,42,15,21,27,21,39,168,4.0,937.0
148,5,3.0,1032.0,2625000,-36.8568781,174.8186995,42,15,21,27,21,39,168,4.0,937.0
149,3,1.0,446.0,560000,-36.8412486,174.6043601,48,30,27,27,21,21,177,8.0,1046.0
150,4,1.0,951.0,680000,-37.067935399999996,174.9598568,87,48,27,21,33,18,237,9.0,1090.0
151,3,2.0,571.0,670000,-37.066514,174.9580746,87,48,27,21,33,18,237,9.0,1090.0
152,5,3.0,877.0,1490000,-37.0516846,174.90614230000003,36,21,12,30,27,42,168,2.0,900.0
153,4,2.0,809.0,830000,-36.804617799999995,174.71203480000003,54,36,33,30,15,21,195,3.0,926.0
154,7,2.0,333.0,1400000,-36.8661486,174.75379180000002,24,42,21,12,12,15,132,3.0,937.0
155,3,1.0,1513.0,1005000,-36.920320000000004,174.6919081,30,15,15,9,12,6,90,9.0,1092.0
156,3,2.0,528.0,850000,-36.877027399999996,174.640536,27,18,21,12,6,18,102,7.0,1021.0
157,3,1.0,636.0,1040000,-36.8901125,174.8659207,57,27,18,15,18,12,147,10.0,1191.0
158,5,3.0,417.0,1225000,-36.959775,174.93261090000001,39,12,21,21,15,3,111,5.0,957.0
159,3,2.0,170.0,630000,-37.0146766,174.89846619999997,51,39,39,27,18,36,210,6.0,996.0
160,3,1.0,658.0,990000,-36.9094537,174.7238505,45,45,24,30,18,39,201,6.0,988.0
161,4,2.0,1573.0,825000,-36.9465931,174.6634799,48,9,15,33,18,21,135,1.0,865.0
162,9,4.0,1843.0,2200000,-36.8603096,174.86930180000002,30,18,3,18,21,12,102,4.0,940.0
163,4,2.0,404.0,2050000,-36.859620899999996,174.8696361,30,18,3,18,21,12,102,4.0,940.0
164,2,1.0,176.0,1500000,-36.8506282,174.7506425,21,27,21,15,15,48,147,3.0,925.0
165,3,1.0,80.0,960000,-36.895639,174.8455024,27,12,27,24,18,15,123,6.0,978.0
166,4,2.0,683.0,970000,-36.8976911,174.9135872,69,24,27,33,12,27,195,5.0,960.0
167,4,3.0,380.0,2525000,-36.6374487,174.6341666,57,18,27,30,39,54,219,3.0,924.0
168,3,2.0,117.0,1220000,-36.883432299999996,174.81580459999998,63,30,42,39,24,30,219,1.0,884.0
169,5,3.0,555.0,1345000,-36.7233994,174.72007580000002,48,42,30,21,21,30,189,4.0,955.0
170,4,3.0,763.0,4700000,-36.8470899,174.7318972,45,24,15,30,33,39,189,1.0,896.0
171,4,2.0,230.0,1100000,-36.8118318,174.7101814,60,24,36,36,24,66,249,2.0,902.0
172,2,1.0,104.0,1020000,-36.8865576,174.8404341,27,42,24,21,18,27,162,2.0,898.0
173,3,1.0,600.0,630000,-36.97792020000001,174.8961056,63,36,24,27,24,30,195,9.0,1130.0
174,3,2.0,166.0,830000,-36.9209207,174.7357439,81,39,60,30,21,27,258,7.0,1024.0
175,4,2.0,519.0,470000,-37.0493856,174.97289080000002,123,99,93,39,39,18,414,5.0,963.0
176,5,3.0,528.0,470000,-37.0502164,174.97293630000001,123,99,93,39,39,18,414,5.0,963.0
177,5,3.0,603.0,480000,-37.049918,174.9724182,123,99,93,39,39,18,414,5.0,963.0
178,3,1.0,439.0,780000,-37.01495739999999,174.91502240000003,45,24,33,27,36,36,204,4.0,942.0
179,3,1.0,600.0,530000,-37.042509499999994,174.8673894,78,33,39,24,30,24,225,10.0,1356.0
180,3,1.0,600.0,530000,-37.042509499999994,174.8673894,78,33,39,24,30,24,225,10.0,1356.0
181,3,2.0,368.0,880000,-36.8152696,174.6288851,45,30,15,27,24,36,174,4.0,940.0
182,3,1.0,1012.0,2112000,-37.2271956,174.93889099999998,39,6,9,24,18,36,129,3.0,932.0
183,4,4.0,2718.0,9000000,-36.871836,174.81368899999998,27,12,6,18,18,36,114,1.0,877.0
184,4,4.0,2718.0,9000000,-36.871836,174.81368899999998,27,12,6,18,18,36,114,1.0,877.0
185,4,2.0,191.0,1825000,-36.8534844,174.84930269999998,48,24,21,30,27,36,186,3.0,929.0
186,2,2.0,173.0,590000,-36.94338270000001,174.90154819999998,24,24,45,15,15,6,132,6.0,976.0
187,3,1.0,1070.0,1875000,-36.886768200000006,174.8134448,48,15,27,27,12,30,153,3.0,932.0
188,3,2.0,586.0,830000,-36.8324006,174.63285390000001,84,36,36,42,27,30,255,9.0,1082.0
189,4,2.0,723.0,1460000,-36.9420311,174.76767230000002,27,9,9,21,15,30,105,1.0,895.0
190,2,1.0,90.0,455000,-36.9763865,174.8391374,54,45,33,18,24,18,198,8.0,1067.0
191,5,2.0,260.0,890000,-36.8843686,174.6504321,60,27,24,30,18,18,186,5.0,973.0
192,6,3.0,210.0,1000000,-36.8848921,174.64905149999998,60,27,24,30,18,18,186,5.0,973.0
193,3,2.0,138.0,1220000,-36.861919,174.8521385,45,12,24,33,30,48,189,2.0,902.0
194,1,1.0,59.0,325000,-36.657444399999996,174.4331618,45,18,21,21,24,24,153,10.0,1163.0
195,4,2.0,846.0,610000,-37.0481046,174.860194,108,42,39,36,27,33,276,8.0,1046.0
196,4,2.0,1047.0,1470000,-36.9188242,174.9314074,33,27,15,30,21,42,168,2.0,903.0
197,5,3.0,375.0,1400000,-36.90441129999999,174.80423190000002,72,81,60,36,33,27,306,8.0,1032.0
198,3,2.0,474.0,1250000,-36.905958700000006,174.8045209,72,81,60,36,33,27,306,8.0,1032.0
199,7,2.0,2931.0,1600000,-37.0513811,174.861198,72,42,24,36,33,39,246,9.0,1099.0
200,3,2.0,261.0,1240000,-36.889430499999996,174.8342189,66,48,54,33,39,39,273,1.0,896.0
201,3,2.0,261.0,1240000,-36.889430499999996,174.8342189,66,48,54,33,39,39,273,1.0,896.0
202,3,1.0,462.0,860000,-36.921234000000005,174.7544716,48,48,33,24,33,36,222,6.0,979.0
203,5,3.0,701.0,2450000,-36.868096200000004,174.8061183,45,24,15,27,36,33,174,1.0,888.0
204,3,2.0,400.0,880000,-36.938385600000004,174.90999309999998,42,12,24,21,18,18,135,5.0,972.0
205,4,2.0,550.0,780000,-36.791673200000005,174.6900185,42,27,36,18,12,12,147,3.0,934.0
206,5,2.0,650.0,950000,-37.05305070000001,174.92289350000001,27,27,18,27,36,45,174,2.0,910.0
207,4,1.0,140.0,775000,-36.8690454,174.61978919999999,42,18,15,27,24,24,153,8.0,1036.0
208,3,2.0,137.0,870000,-36.866926299999996,174.8451884,54,27,21,39,27,45,216,3.0,929.0
209,4,1.0,160.0,830000,-36.885174,174.6509948,66,51,33,24,24,27,228,7.0,1001.0
210,4,2.0,922.0,860000,-36.8993074,174.6348866,102,39,45,36,15,36,279,8.0,1061.0
211,3,2.0,114.0,725000,-36.9006722,174.6350647,102,39,45,36,15,36,279,8.0,1061.0
212,5,3.0,686.0,1735000,-36.8360926,174.66037790000001,39,27,24,15,27,15,147,1.0,891.0
213,3,1.0,1012.0,850000,-36.9085972,174.6380186,63,36,42,36,27,30,231,9.0,1119.0
214,5,3.0,470.0,1400000,-36.886992299999996,175.0062139,60,9,18,48,21,30,180,1.0,863.0
215,5,3.0,490.0,1350000,-36.88756729999999,175.00612980000002,60,9,18,48,21,30,180,1.0,863.0
216,5,2.0,569.0,980000,-36.6122979,174.6567144,36,12,9,27,15,27,129,4.0,950.0
217,4,2.0,550.0,1025000,-37.0779534,174.9188179,201,99,168,114,81,120,789,1.0,897.0
218,3,2.0,220.0,810000,-37.077566100000006,174.9201295,201,99,168,114,81,120,789,1.0,897.0
219,5,3.0,404.0,1250000,-36.964403499999996,174.927909,69,42,60,30,24,30,255,1.0,894.0
220,3,1.0,154.0,820000,-36.9337122,174.9080707,30,18,36,21,12,12,123,5.0,965.0
221,3,1.0,952.0,670000,-36.858717799999994,174.599451,57,27,30,18,12,15,159,9.0,1127.0
222,4,2.0,1074.0,3200000,-36.8700679,174.7703548,33,27,24,9,39,54,183,1.0,877.0
223,4,2.0,161.0,860000,-36.795950700000006,174.65593,51,36,57,18,6,12,174,1.0,880.0
224,3,1.0,473.0,2275000,-36.8474028,174.7324135,57,21,15,30,15,18,153,4.0,938.0
225,4,2.0,170.0,920000,-36.7875914,174.7224742,39,36,36,18,30,48,198,5.0,958.0
226,4,2.0,689.0,1075000,-36.895269299999995,174.7006602,12,9,12,21,15,48,117,8.0,1052.0
227,3,1.0,348.0,1025000,-36.895269299999995,174.7006602,12,9,12,21,15,48,117,8.0,1052.0
228,4,2.0,15230.0,1325000,-36.7338896,174.456874,36,12,9,24,21,18,123,2.0,917.0
229,4,2.0,260.0,1275000,-36.8465434,174.5210115,24,12,9,21,12,27,111,3.0,930.0
230,2,1.0,106.0,740000,-36.91975720000001,174.7118763,0,3,0,3,0,231,243,7.0,1023.0
231,5,3.0,310.0,1525000,-36.752773299999994,174.7608761,57,21,27,27,27,27,177,2.0,913.0
232,3,1.0,345.0,990000,-36.7663399,174.7477823,57,48,42,33,24,15,219,6.0,980.0
233,4,2.0,523.0,1225000,-36.911034,174.7241676,24,15,12,12,18,33,123,4.0,950.0
234,3,1.0,616.0,985000,-36.8813662,174.7009228,42,51,45,33,15,12,198,4.0,951.0
235,4,2.0,1012.0,960000,-37.2203656,174.894608,24,12,9,12,24,27,108,2.0,905.0
236,4,3.0,600.0,820000,-37.0520531,174.8876043,57,18,30,18,24,39,186,6.0,982.0
237,3,1.0,120.0,780000,-37.0000106,174.900693,72,27,42,36,21,36,231,4.0,939.0
238,3,2.0,703.0,1380000,-36.887670799999995,174.89325669999997,54,21,27,36,24,60,216,2.0,912.0
239,4,2.0,984.0,720000,-37.020317,174.9003727,39,27,21,24,21,21,150,5.0,965.0
240,3,2.0,386.0,540000,-36.848476700000006,174.6098376,36,33,27,15,15,15,144,9.0,1109.0
241,4,3.0,222.0,1800000,-36.8736187,174.782018,18,42,33,9,12,15,129,5.0,968.0
242,3,2.0,170.0,940000,-36.8780671,174.7776435,21,21,21,9,15,6,90,6.0,984.0
243,3,2.0,400.0,940000,-36.788751700000006,174.69266090000002,60,18,42,39,24,33,210,4.0,945.0
244,3,2.0,400.0,940000,-36.788751700000006,174.69266090000002,60,18,42,39,24,33,210,4.0,945.0
245,3,1.0,152.0,1160000,-36.8725755,174.8199281,72,15,33,33,24,48,219,1.0,870.0
246,3,3.0,922.0,1650000,-36.8113451,174.71582800000002,30,30,27,27,24,48,189,6.0,976.0
247,4,3.0,428.0,960000,-36.6170889,174.7922216,60,15,21,33,33,63,225,6.0,977.0
248,4,1.0,5088.0,1900000,-36.6083432,174.8071064,36,6,9,18,33,39,141,1.0,882.0
249,4,3.0,523.0,570000,-37.2380653,175.012596,9,18,12,6,21,18,87,1.0,893.0
250,4,2.0,507.0,850000,-37.257721999999994,174.9388626,72,27,18,24,27,6,177,8.0,1053.0
251,2,1.0,70.0,670000,-36.898975899999996,174.9106721,33,18,12,12,21,33,132,7.0,1008.0
252,3,2.0,167.0,1650000,-36.8728739,174.8072187,39,12,12,24,21,24,123,2.0,919.0
253,4,2.0,956.0,990000,-36.902183,174.7117372,66,60,42,30,24,24,255,7.0,1026.0
254,3,1.0,822.0,990000,-36.773546200000006,174.7230032,27,15,33,15,9,15,117,6.0,989.0
255,4,1.0,613.0,650000,-37.0279286,174.86182230000003,96,27,42,15,15,24,219,10.0,1324.0
256,2,1.0,814.0,750000,-36.8458463,174.60943480000003,45,36,30,27,18,21,171,9.0,1109.0
257,3,1.0,718.0,650000,-36.954143,174.83870280000002,66,48,36,30,21,36,240,10.0,1197.0
258,3,1.0,1358.0,1820000,-36.8788108,174.69515019999997,33,21,33,36,30,21,174,2.0,901.0
259,2,1.0,365.0,1175000,-36.8953984,174.7989407,30,42,33,12,6,24,141,6.0,994.0
260,3,2.0,314.0,1140000,-36.89394,174.84338449999998,48,15,30,36,9,21,159,5.0,960.0
261,4,2.0,872.0,1245000,-36.8842814,175.0094947,48,3,15,30,12,9,105,1.0,858.0
262,3,2.0,388.0,680000,-36.8218485,174.6252384,39,30,21,15,15,9,129,8.0,1064.0
263,5,3.0,416.0,2300000,-36.8603424,174.8532553,48,12,24,30,18,39,177,3.0,923.0
264,4,3.0,254.0,2175000,-36.8846936,174.7175628,36,21,24,30,18,24,147,5.0,959.0
265,4,3.0,254.0,2775000,-36.8846936,174.7175628,36,21,24,30,18,24,147,5.0,959.0
266,6,3.0,602.0,6400000,-36.8699368,174.78892050000002,36,6,6,18,21,30,129,1.0,881.0
267,3,2.0,742.0,950000,-36.8734548,174.5973287,36,27,21,24,27,36,171,3.0,926.0
268,3,2.0,186.0,900000,-36.9201159,174.75969609999999,78,42,54,36,30,42,270,5.0,975.0
269,4,3.0,204.0,640000,-36.963376700000005,174.82711930000002,69,36,15,21,12,15,165,9.0,1099.0
270,4,3.0,204.0,640000,-36.963376700000005,174.82711930000002,69,36,15,21,12,15,165,9.0,1099.0
271,4,2.0,902.0,2450000,-36.8686782,174.8757624,39,15,9,27,30,27,141,2.0,907.0
272,3,1.0,921.0,1600000,-36.8687323,174.87550480000002,39,15,9,27,30,27,141,2.0,907.0
273,3,1.0,714.0,1450000,-36.866313500000004,174.7172836,63,21,21,36,33,18,189,3.0,922.0
274,5,3.0,1501.0,1730000,-36.934496700000004,175.1875645,15,15,3,15,36,33,120,3.0,931.0
275,4,2.0,2566.0,1250000,-37.18291970000001,174.82619509999998,90,21,63,48,27,48,291,1.0,871.0
276,4,2.0,695.0,930000,-37.185345299999994,174.82719430000003,90,21,63,48,27,48,291,1.0,871.0
277,3,1.0,150.0,710000,-36.915392600000004,174.6740353,57,42,27,33,24,33,207,8.0,1034.0
278,4,2.0,133.0,1280000,-36.8817233,174.74389299999999,57,30,15,27,30,15,174,6.0,977.0
279,2,1.0,359.0,1400000,-36.871350799999995,174.75929430000002,30,27,39,21,6,12,141,6.0,993.0
280,4,2.0,400.0,1800000,-36.85468770000001,174.8386994,33,6,12,18,21,36,132,1.0,890.0
281,3,2.0,1618.0,1080000,-36.7933277,175.0791116,39,9,24,21,24,51,171,6.0,989.0
282,4,2.0,253.0,720000,-37.001727100000004,174.9036267,45,33,24,21,30,30,186,4.0,941.0
283,4,2.0,2856.0,1270000,-36.931383600000004,174.63750880000003,54,12,15,30,24,18,153,2.0,915.0
284,7,4.0,399.0,1450000,-36.968270000000004,174.9306696,126,72,90,51,36,42,414,5.0,956.0
285,4,2.0,115.0,1000000,-36.9011595,174.7359376,57,36,30,18,15,24,183,9.0,1128.0
286,3,3.0,635.0,710000,-37.020591499999995,174.8684589,96,39,21,33,15,21,225,10.0,1218.0
287,4,2.0,600.0,1055000,-36.759316299999995,174.71186469999998,66,33,39,27,42,51,255,2.0,906.0
288,5,2.0,883.0,1560000,-36.87510579999999,174.91412340000002,30,15,12,18,39,45,162,3.0,929.0
289,3,2.0,130.0,720000,-36.8563101,174.730722,21,39,39,21,21,12,156,5.0,959.0
290,5,5.0,659.0,1750000,-36.6050069,174.6740986,66,21,21,33,18,18,174,3.0,921.0
291,5,4.0,557.0,1675000,-36.681093100000005,174.73887919999999,27,12,21,21,12,21,117,2.0,909.0
292,5,4.0,608.0,2075000,-36.685947600000006,174.7427924,27,12,21,21,12,21,117,2.0,909.0
293,4,1.0,862.0,1000000,-36.79001470000001,175.02728390000001,30,24,15,24,21,24,144,4.0,939.0
294,3,1.0,1055.0,830000,-36.7893761,175.0281423,30,24,15,24,21,24,144,4.0,939.0
295,3,2.0,402.0,710000,-36.9114342,174.6378628,57,18,36,33,15,18,174,7.0,1004.0
296,3,1.0,701.0,1425000,-36.8718357,174.7366601,48,54,51,27,12,12,201,5.0,969.0
297,3,2.0,256.0,3275000,-36.8807382,174.7981463,12,12,6,9,15,33,87,1.0,885.0
298,3,1.0,285.0,880000,-36.8815435,174.8228154,36,27,27,24,9,33,168,3.0,935.0
299,5,4.0,452.0,1175000,-36.580596899999996,174.6722249,36,6,12,27,18,33,141,1.0,856.0
300,2,1.0,605.0,640000,-36.871876,174.5890894,66,21,33,27,6,9,153,10.0,1162.0
301,3,1.0,1343.0,1335000,-36.8930616,174.6863771,66,42,33,27,21,21,216,9.0,1132.0
302,5,3.0,766.0,965000,-37.093205600000005,174.9445781,87,45,57,45,30,45,312,2.0,916.0
303,4,1.0,1437.0,920000,-36.769887100000005,174.5509508,30,12,12,18,15,15,108,1.0,888.0
304,4,2.0,702.0,1150000,-36.762716299999994,174.5340476,84,30,54,36,42,42,291,1.0,857.0
305,4,2.0,451.0,1260000,-36.9270196,174.6492794,75,18,18,51,33,24,228,1.0,889.0
306,2,2.0,123.0,18000000,-36.8927725,174.77979109999998,3,9,15,6,15,21,60,4.0,950.0
307,5,4.0,505.0,1600000,-36.8931018,174.8022017,33,18,24,30,30,21,150,7.0,1017.0
308,4,2.0,221.0,720000,-36.982632,174.796744,123,51,48,27,24,21,300,9.0,1117.0
310,4,2.0,191.0,530000,-36.798371200000005,174.64743,60,66,60,24,24,18,252,2.0,911.0
312,2,1.0,80.0,580000,-36.9718136,174.8320786,54,30,39,15,27,39,201,8.0,1043.0
313,3,2.0,1528.0,770000,-36.9772792,174.63167719999998,27,3,18,30,15,12,108,2.0,909.0
314,1,1.0,54.0,560000,-36.8466718,174.75996809999998,6,63,60,18,18,18,183,4.0,945.0
315,4,1.0,2342.0,1360000,-36.9586578,174.6493112,36,15,9,21,21,33,138,2.0,905.0
316,3,1.0,1884.0,720000,-36.8745465,174.550974,33,24,15,24,39,36,156,4.0,943.0
317,4,2.0,847.0,2000000,-36.891025799999994,174.92200649999998,45,27,24,24,42,45,210,2.0,918.0
318,5,3.0,1629.0,2300000,-36.890492,174.9226706,45,27,24,24,42,45,210,2.0,918.0
319,3,1.0,293.0,700000,-36.9294147,174.7245278,66,45,39,30,24,27,222,5.0,962.0
320,6,4.0,409.0,1375000,-36.9761204,174.9157279,117,81,90,60,27,39,423,2.0,905.0
321,4,2.0,650.0,870000,-36.8948354,174.8591483,21,9,15,3,24,12,87,10.0,1182.0
322,4,2.0,815.0,1425000,-36.885200700000006,174.98930009999998,57,12,6,45,30,33,177,1.0,850.0
323,4,3.0,275.0,1825000,-36.8400283,174.7420513,12,24,36,15,27,45,159,2.0,911.0
324,3,1.0,1300.0,3600000,-36.8402456,174.7421394,12,24,36,15,27,45,159,2.0,911.0
325,3,2.0,179.0,1575000,-36.8659995,174.7375053,30,33,33,18,15,15,135,2.0,902.0
326,3,1.0,89.0,410000,-36.6143145,174.8032398,36,21,30,24,21,36,165,8.0,1049.0
327,4,2.0,644.0,1100000,-36.9593057,174.9341799,108,39,72,69,30,33,351,2.0,906.0
328,5,3.0,539.0,1225000,-36.9595355,174.93410569999998,108,39,72,69,30,33,351,2.0,906.0
329,3,1.0,451.0,640000,-36.8495702,174.6102219,57,21,36,21,15,18,168,7.0,1004.0
330,3,2.0,1006.0,870000,-36.7925349,174.6953357,48,21,24,30,18,21,168,8.0,1055.0
331,3,2.0,809.0,1325000,-36.8906925,174.93480780000002,27,9,12,12,12,45,117,3.0,931.0
332,3,1.0,80.0,500000,-36.9624846,174.793161,93,39,18,24,24,24,225,10.0,1216.0
333,3,1.0,556.0,1950000,-36.862159399999996,174.74280919999998,33,39,39,21,27,9,165,4.0,946.0
334,5,2.0,471.0,2075000,-36.8632281,174.7416011,33,39,39,21,27,9,165,4.0,946.0
335,4,3.0,195.0,1450000,-36.8589527,174.7800434,30,51,48,21,15,15,180,5.0,956.0
336,4,2.0,1603.0,740000,-37.0793779,175.0703464,57,30,24,27,21,39,207,3.0,929.0
337,4,2.0,574.0,1000000,-37.052032000000004,174.87727890000002,117,36,69,57,51,42,381,3.0,926.0
338,3,1.0,89.0,420000,-36.8549925,174.643131,45,30,21,21,18,21,156,7.0,1006.0
339,4,1.0,814.0,840000,-36.855803,174.642841,45,30,21,21,18,21,156,7.0,1006.0
340,3,1.0,90.0,600000,-36.8547334,174.643806,45,30,21,21,18,21,156,7.0,1006.0
341,3,1.0,80.0,450000,-37.0165899,174.8721467,75,54,24,27,15,30,228,9.0,1114.0
342,5,3.0,581.0,1100000,-36.5815524,174.6899519,24,12,9,12,15,36,111,7.0,1011.0
